,week,los.days,place,total_admin,prop
172,1,172,mock,0,0
173,1,173,mock,0,0
174,1,174,mock,0,0
175,1,175,mock,0,0
176,1,176,mock,0,0
177,1,177,mock,0,0
178,1,178,mock,0,0
179,1,179,mock,0,0
180,1,180,mock,0,0
181,1,181,mock,0,0
182,1,182,mock,0,0
183,1,183,mock,0,0
184,1,184,mock,0,0
185,1,185,mock,0,0
186,1,186,mock,0,0
187,1,187,mock,0,0
188,1,188,mock,0,0
189,1,189,mock,0,0
190,1,190,mock,0,0
191,1,191,mock,0,0
192,1,192,mock,0,0
193,1,193,mock,0,0
194,1,194,mock,0,0
195,1,195,mock,0,0
196,1,196,mock,0,0
197,1,197,mock,0,0
198,1,198,mock,0,0
199,1,199,mock,0,0
200,1,200,mock,0,0
201,1,201,mock,0,0
202,1,202,mock,0,0
203,1,203,mock,0,0
204,1,204,mock,0,0
205,1,205,mock,0,0
206,1,206,mock,0,0
207,1,207,mock,0,0
208,1,208,mock,0,0
209,1,209,mock,0,0
210,1,210,mock,0,0
211,1,211,mock,0,0
212,1,212,mock,0,0
213,1,213,mock,0,0
214,1,214,mock,0,0
215,1,215,mock,0,0
216,1,216,mock,0,0
217,1,217,mock,0,0
218,1,218,mock,0,0
219,1,219,mock,0,0
220,1,220,mock,0,0
221,1,221,mock,0,0
222,1,222,mock,0,0
223,1,223,mock,0,0
224,1,224,mock,0,0
225,1,225,mock,0,0
226,1,226,mock,0,0
227,1,227,mock,0,0
228,1,228,mock,0,0
229,1,229,mock,0,0
230,1,230,mock,0,0
231,1,231,mock,0,0
232,1,232,mock,0,0
233,1,233,mock,0,0
234,1,234,mock,0,0
235,1,235,mock,0.099,2.05E-05
236,1,0.5,mock,1906.4,0.488409748
237,2,1,mock,157.479,0.153696378
238,2,2,mock,236.824,0.086675821
239,2,3,mock,269.676,0.055829969
240,2,4,mock,150.579,0.038101289
241,2,5,mock,17.772,0.030353959
242,2,6,mock,7.896,0.020229141
243,2,7,mock,23.453,0.010227296
244,2,8,mock,27.318,0.00965342
245,2,9,mock,59.808,0.012768748
246,2,10,mock,3.703,0.010842164
247,2,11,mock,42.336,0.008854092
248,2,12,mock,5.544,0.008116251
249,2,13,mock,10.115,0.005923224
250,2,14,mock,3.045,0.00297186
251,2,15,mock,6.408,0.003648214
252,2,16,mock,19.38,0.005226374
253,2,17,mock,17.628,0.004632002
254,2,18,mock,4.94,0.003894161
255,2,19,mock,2.17,0.004447542
256,2,20,mock,7.134,0.002520957
257,2,21,mock,3.248,0.001147753
258,2,22,mock,7.298,0.001680638
259,2,23,mock,9.48,0.00245947
260,2,24,mock,10.283,0.002316001
261,2,25,mock,5.148,0.002029063
262,2,26,mock,2.548,0.001865098
263,2,27,mock,2.403,0.001824107
264,2,28,mock,1.767,0.000635363
265,2,29,mock,2.499,0.001004284
266,2,30,mock,5.146,0.001270726
267,2,31,mock,0.98,0.001434691
268,2,32,mock,0.477,0.001086266
269,2,33,mock,2.666,0.00088131
270,2,34,mock,2.106,0.000799328
271,2,35,mock,0.016,0.000327929
272,2,36,mock,1.073,0.000594372
273,2,37,mock,4.092,0.000901806
274,2,38,mock,1.972,0.000594372
275,2,39,mock,1.702,0.000758337
276,2,40,mock,0.031,0.000635363
277,2,41,mock,0.27,0.00036892
278,2,42,mock,1.248,0.000266443
279,2,43,mock,0.272,0.000348425
280,2,44,mock,3.168,0.000655859
281,2,45,mock,0.24,0.000819823
282,2,46,mock,1.95,0.000532885
283,2,47,mock,0.308,0.000286938
284,2,48,mock,0.342,0.00036892
285,2,49,mock,0.068,8.20E-05
286,2,50,mock,1.144,0.000266443
287,2,51,mock,0.105,0.000307434
288,2,52,mock,0.112,0.000286938
289,2,53,mock,0.688,0.000327929
290,2,54,mock,1.971,0.000553381
291,2,55,mock,0.429,0.000266443
292,2,56,mock,0.009,0.00018446
293,2,57,mock,0.072,0.000163965
294,2,58,mock,1.62,0.00036892
295,2,59,mock,0.276,8.20E-05
296,2,60,mock,0.88,0.000204956
297,2,61,mock,0.343,0.000143469
298,2,62,mock,0.19,0.000204956
299,2,63,mock,0.204,6.15E-05
300,2,64,mock,0.738,0.00018446
301,2,65,mock,0.594,0.00018446
302,2,66,mock,0.36,0.000163965
303,2,67,mock,0.063,0.000143469
304,2,68,mock,0.249,6.15E-05
305,2,69,mock,0.276,8.20E-05
306,2,70,mock,0.198,6.15E-05
307,2,71,mock,0.099,2.05E-05
308,2,72,mock,0.05,4.10E-05
309,2,73,mock,0.059,2.05E-05
310,2,74,mock,0.081,6.15E-05
311,2,75,mock,0.042,4.10E-05
312,2,76,mock,0.112,8.20E-05
313,2,77,mock,0,0
314,2,78,mock,0,0
315,2,79,mock,0.158,4.10E-05
316,2,80,mock,0.096,4.10E-05
317,2,81,mock,0,0
318,2,82,mock,0,0
319,2,83,mock,0,0
320,2,84,mock,0.038,2.05E-05
321,2,85,mock,0,0
322,2,86,mock,0.031,2.05E-05
323,2,87,mock,0,0
324,2,88,mock,0.154,4.10E-05
325,2,89,mock,0,0
326,2,90,mock,0,0
327,2,91,mock,0,0
328,2,92,mock,0,0
329,2,93,mock,0,0
330,2,94,mock,0,0
331,2,95,mock,0,0
332,2,96,mock,0.032,2.05E-05
333,2,97,mock,0,0
334,2,98,mock,0,0
335,2,99,mock,0,0
336,2,100,mock,0,0
337,2,101,mock,0.058,2.05E-05
338,2,102,mock,0,0
339,2,103,mock,0,0
340,2,104,mock,0.009,2.05E-05
341,2,105,mock,0,0
342,2,106,mock,0,0
343,2,107,mock,0,0
344,2,108,mock,0,0
345,2,109,mock,0,0
346,2,110,mock,0.08,2.05E-05
347,2,111,mock,0.04,2.05E-05
348,2,112,mock,0,0
349,2,113,mock,0,0
350,2,114,mock,0,0
351,2,115,mock,0,0
352,2,116,mock,0.016,2.05E-05
353,2,117,mock,0.08,2.05E-05
354,2,118,mock,0,0
355,2,119,mock,0,0
356,2,120,mock,0,0
357,2,121,mock,0,0
358,2,122,mock,0,0
359,2,123,mock,0,0
360,2,124,mock,0,0
361,2,125,mock,0,0
362,2,126,mock,0,0
363,2,127,mock,0,0
364,2,128,mock,0.052,2.05E-05
365,2,129,mock,0,0
366,2,130,mock,0.096,2.05E-05
367,2,131,mock,0,0
368,2,132,mock,0,0
369,2,133,mock,0,0
370,2,134,mock,0,0
371,2,135,mock,0,0
372,2,136,mock,0,0
373,2,137,mock,0.028,2.05E-05
374,2,138,mock,0,0
375,2,139,mock,0,0
376,2,140,mock,0,0
377,2,141,mock,0,0
378,2,142,mock,0,0
379,2,143,mock,0,0
380,2,144,mock,0,0
381,2,145,mock,0,0
382,2,146,mock,0,0
383,2,147,mock,0,0
384,2,148,mock,0,0
385,2,149,mock,0,0
386,2,150,mock,0,0
387,2,151,mock,0,0
388,2,152,mock,0.068,2.05E-05
389,2,153,mock,0,0
390,2,154,mock,0,0
391,2,155,mock,0,0
392,2,156,mock,0,0
393,2,157,mock,0,0
394,2,158,mock,0,0
395,2,159,mock,0,0
396,2,160,mock,0,0
397,2,161,mock,0,0
398,2,162,mock,0,0
399,2,163,mock,0,0
400,2,164,mock,0,0
401,2,165,mock,0,0
402,2,166,mock,0,0
403,2,167,mock,0,0
404,2,168,mock,0,0
405,2,169,mock,0,0
406,2,170,mock,0.079,2.05E-05
407,2,171,mock,0,0
408,2,172,mock,0,0
409,2,173,mock,0,0
410,2,174,mock,0,0
411,2,175,mock,0,0
412,2,176,mock,0,0
413,2,177,mock,0,0
414,2,178,mock,0,0
415,2,179,mock,0,0
416,2,180,mock,0,0
417,2,181,mock,0,0
418,2,182,mock,0,0
419,2,183,mock,0,0
420,2,184,mock,0,0
421,2,185,mock,0,0
422,2,186,mock,0,0
423,2,187,mock,0,0
424,2,188,mock,0,0
425,2,189,mock,0,0
426,2,190,mock,0,0
427,2,191,mock,0,0
428,2,192,mock,0,0
429,2,193,mock,0,0
430,2,194,mock,0,0
431,2,195,mock,0,0
432,2,196,mock,0,0
433,2,197,mock,0,0
434,2,198,mock,0,0
435,2,199,mock,0,0
436,2,200,mock,0,0
437,2,201,mock,0,0
438,2,202,mock,0,0
439,2,203,mock,0,0
440,2,204,mock,0,0
441,2,205,mock,0,0
442,2,206,mock,0,0
443,2,207,mock,0,0
444,2,208,mock,0,0
445,2,209,mock,0,0
446,2,210,mock,0,0
447,2,211,mock,0,0
448,2,212,mock,0,0
449,2,213,mock,0,0
450,2,214,mock,0,0
451,2,215,mock,0,0
452,2,216,mock,0,0
453,2,217,mock,0,0
454,2,218,mock,0,0
455,2,219,mock,0,0
456,2,220,mock,0,0
457,2,221,mock,0,0
458,2,222,mock,0,0
459,2,223,mock,0,0
460,2,224,mock,0,0
461,2,225,mock,0,0
462,2,226,mock,0,0
463,2,227,mock,0,0
464,2,228,mock,0,0
465,2,229,mock,0,0
466,2,230,mock,0,0
467,2,231,mock,0,0
468,2,232,mock,0,0
469,2,233,mock,0,0
470,2,234,mock,0,0
471,2,235,mock,0.049,2.05E-05
472,2,0.5,mock,1096.18,0.488409748
473,3,1,mock,584.922,0.153696378
474,3,2,mock,249.511,0.086675821
475,3,3,mock,212.472,0.055829969
476,3,4,mock,20.449,0.038101289
477,3,5,mock,34.063,0.030353959
478,3,6,mock,47.376,0.020229141
479,3,7,mock,46.407,0.010227296
480,3,8,mock,28.26,0.00965342
481,3,9,mock,44.233,0.012768748
482,3,10,mock,19.573,0.010842164
483,3,11,mock,36.72,0.008854092
484,3,12,mock,28.116,0.008116251
485,3,13,mock,26.877,0.005923224
486,3,14,mock,10.875,0.00297186
487,3,15,mock,14.952,0.003648214
488,3,16,mock,6.885,0.005226374
489,3,17,mock,9.266,0.004632002
490,3,18,mock,12.16,0.003894161
491,3,19,mock,16.926,0.004447542
492,3,20,mock,1.23,0.002520957
493,3,21,mock,4.872,0.001147753
494,3,22,mock,4.51,0.001680638
495,3,23,mock,2.52,0.00245947
496,3,24,mock,4.52,0.002316001
497,3,25,mock,1.386,0.002029063
498,3,26,mock,5.733,0.001865098
499,3,27,mock,2.136,0.001824107
500,3,28,mock,0.837,0.000635363
501,3,29,mock,1.617,0.001004284
502,3,30,mock,3.968,0.001270726
503,3,31,mock,6.51,0.001434691
504,3,32,mock,4.134,0.001086266
505,3,33,mock,1.376,0.00088131
506,3,34,mock,3.315,0.000799328
507,3,35,mock,1.6,0.000327929
508,3,36,mock,2.465,0.000594372
509,3,37,mock,3.872,0.000901806
510,3,38,mock,0.116,0.000594372
511,3,39,mock,0.888,0.000758337
512,3,40,mock,1.829,0.000635363
513,3,41,mock,0.396,0.00036892
514,3,42,mock,1.235,0.000266443
515,3,43,mock,0.765,0.000348425
516,3,44,mock,2.048,0.000655859
517,3,45,mock,2.48,0.000819823
518,3,46,mock,0.624,0.000532885
519,3,47,mock,1.162,0.000286938
520,3,48,mock,0.108,0.00036892
521,3,49,mock,0.212,8.20E-05
522,3,50,mock,0.104,0.000266443
523,3,51,mock,1.365,0.000307434
524,3,52,mock,0.28,0.000286938
525,3,53,mock,1.264,0.000327929
526,3,54,mock,0.675,0.000553381
527,3,55,mock,0.533,0.000266443
528,3,56,mock,0.36,0.00018446
529,3,57,mock,0.552,0.000163965
530,3,58,mock,1.692,0.00036892
531,3,59,mock,0.316,8.20E-05
532,3,60,mock,0.4,0.000204956
533,3,61,mock,0.322,0.000143469
534,3,62,mock,0.83,0.000204956
535,3,63,mock,0.207,6.15E-05
536,3,64,mock,0.207,0.00018446
537,3,65,mock,0.117,0.00018446
538,3,66,mock,0.304,0.000163965
539,3,67,mock,0.651,0.000143469
540,3,68,mock,0.021,6.15E-05
541,3,69,mock,0.088,8.20E-05
542,3,70,mock,0.081,6.15E-05
543,3,71,mock,0.1,2.05E-05
544,3,72,mock,0.024,4.10E-05
545,3,73,mock,0.066,2.05E-05
546,3,74,mock,0.165,6.15E-05
547,3,75,mock,0.138,4.10E-05
548,3,76,mock,0.128,8.20E-05
549,3,77,mock,0,0
550,3,78,mock,0,0
551,3,79,mock,0.048,4.10E-05
552,3,80,mock,0.01,4.10E-05
553,3,81,mock,0,0
554,3,82,mock,0,0
555,3,83,mock,0,0
556,3,84,mock,0.058,2.05E-05
557,3,85,mock,0,0
558,3,86,mock,0.023,2.05E-05
559,3,87,mock,0,0
560,3,88,mock,0.102,4.10E-05
561,3,89,mock,0,0
562,3,90,mock,0,0
563,3,91,mock,0,0
564,3,92,mock,0,0
565,3,93,mock,0,0
566,3,94,mock,0,0
567,3,95,mock,0,0
568,3,96,mock,0.017,2.05E-05
569,3,97,mock,0,0
570,3,98,mock,0,0
571,3,99,mock,0,0
572,3,100,mock,0,0
573,3,101,mock,0.076,2.05E-05
574,3,102,mock,0,0
575,3,103,mock,0,0
576,3,104,mock,0.038,2.05E-05
577,3,105,mock,0,0
578,3,106,mock,0,0
579,3,107,mock,0,0
580,3,108,mock,0,0
581,3,109,mock,0,0
582,3,110,mock,0.018,2.05E-05
583,3,111,mock,0.05,2.05E-05
584,3,112,mock,0,0
585,3,113,mock,0,0
586,3,114,mock,0,0
587,3,115,mock,0,0
588,3,116,mock,0.037,2.05E-05
589,3,117,mock,0.061,2.05E-05
590,3,118,mock,0,0
591,3,119,mock,0,0
592,3,120,mock,0,0
593,3,121,mock,0,0
594,3,122,mock,0,0
595,3,123,mock,0,0
596,3,124,mock,0,0
597,3,125,mock,0,0
598,3,126,mock,0,0
599,3,127,mock,0,0
600,3,128,mock,0.011,2.05E-05
601,3,129,mock,0,0
602,3,130,mock,0.061,2.05E-05
603,3,131,mock,0,0
604,3,132,mock,0,0
605,3,133,mock,0,0
606,3,134,mock,0,0
607,3,135,mock,0,0
608,3,136,mock,0,0
609,3,137,mock,0.092,2.05E-05
610,3,138,mock,0,0
611,3,139,mock,0,0
612,3,140,mock,0,0
613,3,141,mock,0,0
614,3,142,mock,0,0
615,3,143,mock,0,0
616,3,144,mock,0,0
617,3,145,mock,0,0
618,3,146,mock,0,0
619,3,147,mock,0,0
620,3,148,mock,0,0
621,3,149,mock,0,0
622,3,150,mock,0,0
623,3,151,mock,0,0
624,3,152,mock,0.069,2.05E-05
625,3,153,mock,0,0
626,3,154,mock,0,0
627,3,155,mock,0,0
628,3,156,mock,0,0
629,3,157,mock,0,0
630,3,158,mock,0,0
631,3,159,mock,0,0
632,3,160,mock,0,0
633,3,161,mock,0,0
634,3,162,mock,0,0
635,3,163,mock,0,0
636,3,164,mock,0,0
637,3,165,mock,0,0
638,3,166,mock,0,0
639,3,167,mock,0,0
640,3,168,mock,0,0
641,3,169,mock,0,0
642,3,170,mock,0.028,2.05E-05
643,3,171,mock,0,0
644,3,172,mock,0,0
645,3,173,mock,0,0
646,3,174,mock,0,0
647,3,175,mock,0,0
648,3,176,mock,0,0
649,3,177,mock,0,0
650,3,178,mock,0,0
651,3,179,mock,0,0
652,3,180,mock,0,0
653,3,181,mock,0,0
654,3,182,mock,0,0
655,3,183,mock,0,0
656,3,184,mock,0,0
657,3,185,mock,0,0
658,3,186,mock,0,0
659,3,187,mock,0,0
660,3,188,mock,0,0
661,3,189,mock,0,0
662,3,190,mock,0,0
663,3,191,mock,0,0
664,3,192,mock,0,0
665,3,193,mock,0,0
666,3,194,mock,0,0
667,3,195,mock,0,0
668,3,196,mock,0,0
669,3,197,mock,0,0
670,3,198,mock,0,0
671,3,199,mock,0,0
672,3,200,mock,0,0
673,3,201,mock,0,0
674,3,202,mock,0,0
675,3,203,mock,0,0
676,3,204,mock,0,0
677,3,205,mock,0,0
678,3,206,mock,0,0
679,3,207,mock,0,0
680,3,208,mock,0,0
681,3,209,mock,0,0
682,3,210,mock,0,0
683,3,211,mock,0,0
684,3,212,mock,0,0
685,3,213,mock,0,0
686,3,214,mock,0,0
687,3,215,mock,0,0
688,3,216,mock,0,0
689,3,217,mock,0,0
690,3,218,mock,0,0
691,3,219,mock,0,0
692,3,220,mock,0,0
693,3,221,mock,0,0
694,3,222,mock,0,0
695,3,223,mock,0,0
696,3,224,mock,0,0
697,3,225,mock,0,0
698,3,226,mock,0,0
699,3,227,mock,0,0
700,3,228,mock,0,0
701,3,229,mock,0,0
702,3,230,mock,0,0
703,3,231,mock,0,0
704,3,232,mock,0,0
705,3,233,mock,0,0
706,3,234,mock,0,0
707,3,235,mock,0.081,2.05E-05
708,3,0.5,mock,2097.04,0.488409748
709,4,1,mock,704.906,0.153696378
710,4,2,mock,346.778,0.086675821
711,4,3,mock,166.164,0.055829969
712,4,4,mock,156.156,0.038101289
713,4,5,mock,119.961,0.030353959
714,4,6,mock,75.012,0.020229141
715,4,7,mock,7.485,0.010227296
716,4,8,mock,30.144,0.00965342
717,4,9,mock,52.955,0.012768748
718,4,10,mock,43.907,0.010842164
719,4,11,mock,3.456,0.008854092
720,4,12,mock,7.128,0.008116251
721,4,13,mock,28.611,0.005923224
722,4,14,mock,11.02,0.00297186
723,4,15,mock,6.586,0.003648214
724,4,16,mock,24.48,0.005226374
725,4,17,mock,12.656,0.004632002
726,4,18,mock,3.23,0.003894161
727,4,19,mock,0.651,0.004447542
728,4,20,mock,9.102,0.002520957
729,4,21,mock,4.76,0.001147753
730,4,22,mock,1.886,0.001680638
731,4,23,mock,0.36,0.00245947
732,4,24,mock,0.791,0.002316001
733,4,25,mock,5.148,0.002029063
734,4,26,mock,8.372,0.001865098
735,4,27,mock,8.633,0.001824107
736,4,28,mock,1.085,0.000635363
737,4,29,mock,2.842,0.001004284
738,4,30,mock,0.248,0.001270726
739,4,31,mock,3.5,0.001434691
740,4,32,mock,2.756,0.001086266
741,4,33,mock,2.064,0.00088131
742,4,34,mock,3.003,0.000799328
743,4,35,mock,0.448,0.000327929
744,4,36,mock,2.204,0.000594372
745,4,37,mock,1.496,0.000901806
746,4,38,mock,0.986,0.000594372
747,4,39,mock,1.85,0.000758337
748,4,40,mock,2.945,0.000635363
749,4,41,mock,0.162,0.00036892
750,4,42,mock,0.858,0.000266443
751,4,43,mock,1.615,0.000348425
752,4,44,mock,2.432,0.000655859
753,4,45,mock,3.2,0.000819823
754,4,46,mock,2.47,0.000532885
755,4,47,mock,0.224,0.000286938
756,4,48,mock,1.602,0.00036892
757,4,49,mock,0.092,8.20E-05
758,4,50,mock,0.364,0.000266443
759,4,51,mock,1.095,0.000307434
760,4,52,mock,1.078,0.000286938
761,4,53,mock,0.416,0.000327929
762,4,54,mock,2.511,0.000553381
763,4,55,mock,0.702,0.000266443
764,4,56,mock,0.846,0.00018446
765,4,57,mock,0.616,0.000163965
766,4,58,mock,1.296,0.00036892
767,4,59,mock,0.36,8.20E-05
768,4,60,mock,0.75,0.000204956
769,4,61,mock,0.504,0.000143469
770,4,62,mock,0.97,0.000204956
771,4,63,mock,0.222,6.15E-05
772,4,64,mock,0.648,0.00018446
773,4,65,mock,0.441,0.00018446
774,4,66,mock,0.688,0.000163965
775,4,67,mock,0.049,0.000143469
776,4,68,mock,0.024,6.15E-05
777,4,69,mock,0.2,8.20E-05
778,4,70,mock,0.012,6.15E-05
779,4,71,mock,0.097,2.05E-05
780,4,72,mock,0.026,4.10E-05
781,4,73,mock,0.094,2.05E-05
782,4,74,mock,0.216,6.15E-05
783,4,75,mock,0.016,4.10E-05
784,4,76,mock,0.164,8.20E-05
785,4,77,mock,0,0
786,4,78,mock,0,0
787,4,79,mock,0.088,4.10E-05
788,4,80,mock,0.03,4.10E-05
789,4,81,mock,0,0
790,4,82,mock,0,0
791,4,83,mock,0,0
792,4,84,mock,0.085,2.05E-05
793,4,85,mock,0,0
794,4,86,mock,0.023,2.05E-05
795,4,87,mock,0,0
796,4,88,mock,0.046,4.10E-05
797,4,89,mock,0,0
798,4,90,mock,0,0
799,4,91,mock,0,0
800,4,92,mock,0,0
801,4,93,mock,0,0
802,4,94,mock,0,0
803,4,95,mock,0,0
804,4,96,mock,0.095,2.05E-05
805,4,97,mock,0,0
806,4,98,mock,0,0
807,4,99,mock,0,0
808,4,100,mock,0,0
809,4,101,mock,0.092,2.05E-05
810,4,102,mock,0,0
811,4,103,mock,0,0
812,4,104,mock,0.044,2.05E-05
813,4,105,mock,0,0
814,4,106,mock,0,0
815,4,107,mock,0,0
816,4,108,mock,0,0
817,4,109,mock,0,0
818,4,110,mock,0.012,2.05E-05
819,4,111,mock,0.056,2.05E-05
820,4,112,mock,0,0
821,4,113,mock,0,0
822,4,114,mock,0,0
823,4,115,mock,0,0
824,4,116,mock,0.081,2.05E-05
825,4,117,mock,0.008,2.05E-05
826,4,118,mock,0,0
827,4,119,mock,0,0
828,4,120,mock,0,0
829,4,121,mock,0,0
830,4,122,mock,0,0
831,4,123,mock,0,0
832,4,124,mock,0,0
833,4,125,mock,0,0
834,4,126,mock,0,0
835,4,127,mock,0,0
836,4,128,mock,0.038,2.05E-05
837,4,129,mock,0,0
838,4,130,mock,0.002,2.05E-05
839,4,131,mock,0,0
840,4,132,mock,0,0
841,4,133,mock,0,0
842,4,134,mock,0,0
843,4,135,mock,0,0
844,4,136,mock,0,0
845,4,137,mock,0.008,2.05E-05
846,4,138,mock,0,0
847,4,139,mock,0,0
848,4,140,mock,0,0
849,4,141,mock,0,0
850,4,142,mock,0,0
851,4,143,mock,0,0
852,4,144,mock,0,0
853,4,145,mock,0,0
854,4,146,mock,0,0
855,4,147,mock,0,0
856,4,148,mock,0,0
857,4,149,mock,0,0
858,4,150,mock,0,0
859,4,151,mock,0,0
860,4,152,mock,0.089,2.05E-05
861,4,153,mock,0,0
862,4,154,mock,0,0
863,4,155,mock,0,0
864,4,156,mock,0,0
865,4,157,mock,0,0
866,4,158,mock,0,0
867,4,159,mock,0,0
868,4,160,mock,0,0
869,4,161,mock,0,0
870,4,162,mock,0,0
871,4,163,mock,0,0
872,4,164,mock,0,0
873,4,165,mock,0,0
874,4,166,mock,0,0
875,4,167,mock,0,0
876,4,168,mock,0,0
877,4,169,mock,0,0
878,4,170,mock,0.095,2.05E-05
879,4,171,mock,0,0
880,4,172,mock,0,0
881,4,173,mock,0,0
882,4,174,mock,0,0
883,4,175,mock,0,0
884,4,176,mock,0,0
885,4,177,mock,0,0
886,4,178,mock,0,0
887,4,179,mock,0,0
888,4,180,mock,0,0
889,4,181,mock,0,0
890,4,182,mock,0,0
